Moods,Valence,Energy,Tempo,Loudness,Danceability
joyous,10,1,1,5,0.5
happy,9,2,2,4.5,1
pleased,9,-1,-1,4.5,-0.5
feel well,9,-1,-1,4.5,-0.5
amorous,8,-2,-2,4,-1
glad,10,-2,-2,5,-1
solemn,8,-5,-5,4,-2.5
serene,8,-5,-5,4,-2.5
content,8,-6,-6,4,-3
at ease,8,-6,-6,4,-3
satisfied,8,-7,-7,4,-3.5
friendly,8,-6,-6,4,-3
relaxed,7,-7,-7,3.5,-3.5
calm,7,-7,-7,3.5,-3.5
excited,7,7,7,3.5,3.5
self confident,8,6,6,4,3
courageous,8,5,5,4,2.5
delighted,9,4,4,4.5,2
adventurous,5,9,9,2.5,4.5
triumphant,8,7,7,4,3.5
enthusiastic,5,3,3,2.5,1.5
determined,7,3,3,3.5,1.5
amused,5,2,2,2.5,1
interested,6,0,0,3,0
confident,5,-2,-2,2.5,-1
hopeful,6,-3,-3,3,-1.5
attentive,5,-5,-5,2.5,-2.5
contemplative,6,-6,-6,3,-3
peaceful,5,-8,-8,2.5,-4
aroused,4,9,9,2,4.5
astonished,4,9,9,2,4.5
lusting,2,8,8,1,4
conceited,2,7,7,1,3.5
ambitious,4,7,7,2,3.5
superior,2,5,5,1,2.5
convinced,4,4,4,2,2
light hearted,4,3,3,2,1.5
passionate,3,1,1,1.5,0.5
expectant,3,1,1,1.5,0.5
impressed,4,-1,-1,2,-0.5
longing,2,-4,-4,1,-2
pensive,0,-6,-6,0,-3
serious,2,-7,-7,1,-3.5
polite,4,-7,-7,2,-3.5
conscientious,3,-8,-8,1.5,-4
compassionate,4,-9,-9,2,-4.5
reverent,2,-10,-10,1,-5
sleepy,0,-10,-10,0,-5
tired,0,-10,-10,0,-5
bellicose,-1,10,10,-0.5,5
alarmed,-1,9,9,-0.5,4.5
tense,0,9,9,0,4.5
afraid,-1,8,8,-0.5,4
hostile,-3,9,9,-1.5,4.5
envious,-3,8,8,-1.5,4
angry,-4,8,8,-2,4
enraged,-2,7,7,-1,3.5
annoyed,-4,6,6,-2,3
jealous,-1,6,6,-0.5,3
indignant,-2,5,5,-1,2.5
impatient,0,3,3,0,1.5
suspicious,-3,3,3,-1.5,1.5
apathetic,-2,-1,-1,-1,-0.5
taken back,-4,-2,-2,-2,-1
worried,-1,-3,-3,-0.5,-1.5
guilty,-4,-4,-4,-2,-2
ashamed,-4,-5,-5,-2,-2.5
languid,-2,-5,-5,-1,-2.5
embarassed,-3,-6,-6,-1.5,-3
melancholic,-1,-7,-7,-0.5,-3.5
hesitant,-3,-7,-7,-1.5,-3.5
bored,-3,-8,-8,-1.5,-4
droopy,-3,-9,-9,-1.5,-4.5
doubtful,-3,-10,-10,-1.5,-5
distrustful,-5,1,1,-2.5,0.5
hateful,-6,9,9,-3,4.5
defient,-6,7,7,-3,3.5
contemptous,-6,6,6,-3,3
distressed,-7,6,6,-3.5,3
disgusted,-7,5,5,-3.5,2.5
loathing,-8,4,4,-4,2
disontented,-7,3,3,-3.5,1.5
bitter,-8,3,3,-4,1.5
insulted,-7,2,2,-3.5,1
startled,-9,0,0,-4.5,0
disappointed,-8,0,0,-4,0
miserable,-9,-1,-1,-4.5,-0.5
dissatisfied,-6,-2,-2,-3,-1
uncomfortable,-7,-4,-4,-3.5,-2
sad,-8,-4,-4,-4,-2
despondent,-6,-4,-4,-3,-2
depressed,-8,-5,-5,-4,-2.5
gloomy,-9,-5,-5,-4.5,-2.5
desperate,-8,-5,-5,-4,-2.5
wavering,-6,-7,-7,-3,-3.5
anxious,-7,-8,-8,-3.5,-4
dejected,-5,-9,-9,-2.5,-4.5